,Unnamed: 0,City,State,median_income,murders_2016_pro10e5,assaults_2016_pro10e5
16,18,Athens,Georgia,30753,,
17,19,Round Rock,Texas,72001,0.0,82.1
18,20,Hartford,Connecticut,36637,11.3,644.9
19,21,Norman,Oklahoma,52041,0.0,166.2
20,22,Victorville,California,48065,5.7,381.6
21,23,Fargo,North Dakota,52699,2.5,261.5
22,24,Berkeley,California,78121,1.6,150.8
23,25,Vallejo,California,65241,12.3,469.4
24,26,Abilene,Texas,45713,6.5,273.4
25,27,Columbia,Missouri,50044,5.0,225.4
26,28,Ann Arbor,Michigan,60745,0.8,106.2
27,29,Allentown,Pennsylvania,35813,8.3,176.6
28,30,Pearland,Texas,91010,1.9,54.4
29,31,Beaumont,Texas,42077,11.8,707.6
30,32,Wilmington,North Carolina,38800,15.9,418.8
31,33,Evansville,Indiana,38865,6.7,391.1
32,34,Arvada,Colorado,75082,1.7,77.1
33,35,Provo,Utah,46883,1.7,60.5
34,36,Independence,Missouri,45970,7.7,343.5
35,37,Lansing,Michigan,40160,7.8,807.3
36,38,Odessa,Texas,56265,3.2,633.9
37,39,Richardson,Texas,82241,4.4,56.5
38,40,Fairfield,California,69235,6.1,232.3
39,41,El Monte,California,48434,2.6,210.5
40,42,Rochester,Minnesota,67712,0.0,103.3
41,43,Clearwater,Florida,41844,4.4,348.5
42,44,Carlsbad,California,113217,0.0,106.9
43,45,Springfield,Illinois,48179,5.1,812.4
44,46,Temecula,California,90179,0.0,239.1
45,47,West Jordan,Utah,71517,1.0,120.0
46,48,Costa Mesa,California,81019,0.9,181.0
47,49,Miami Gardens,Florida,47834,,
48,50,Cambridge,Massachusetts,86657,1.8,169.3
49,51,College Station,Texas,39068,2.7,126.4
50,52,Murrieta,California,81467,,
51,53,Downey,California,65578,0.9,141.2
52,54,Peoria,Illinois,47369,8.7,425.7
53,55,Westminster,Colorado,71313,3.5,125.7
54,56,Elgin,Illinois,61070,1.8,121.4
55,57,Antioch,California,81203,8.0,359.5
56,58,Palm Bay,Florida,45712,3.7,374.9
57,59,High Point,North Carolina,41250,6.3,411.0
58,60,Lowell,Massachusetts,55383,0.0,209.0
59,61,Manchester,New Hampshire,54664,4.5,419.6
60,62,Pueblo,Colorado,38380,8.2,615.9
61,63,Gresham,Oregon,58042,4.5,210.8
62,64,North Charleston,South Carolina,35600,29.0,524.0
