Location,Location_Type,Year,Month,Price_Studio,Price_1br,Price_2br,Price_3br,Price_4br,MoM_Price_Change,YoY_Price_Change
"St. Joseph, MI","City",2018,6,540,640,851,1080,1272,1.7,
"St. Joseph, MO","City",2018,6,567,622,810,1026,1268,.3,-2.1
"St. Louis, MO","City",2018,6,632,717,931,1233,1439,.1,-.4
"St. Paul, MN","City",2018,6,788,972,1226,1736,2029,.4,2.6
"St. Peters, MO","City",2018,6,769,872,1132,1499,1750,.2,2.3
"St. Petersburg, FL","City",2018,6,829,946,1178,1557,1868,.7,3.5
"Stafford, TX","City",2018,6,886,1004,1229,1675,2129,-.7,3.8
"Stamford, CT","City",2018,6,1238,1514,1911,2416,2896,.8,1.5
"Stanton, CA","City",2018,6,1242,1478,1899,2581,2846,.8,-.8
"Sterling Heights, MI","City",2018,6,683,825,1074,1427,1548,.7,2.8
"Stevenson Ranch, CA","City",2018,6,2384,2838,3647,4956,5465,.4,5.6
"Stockbridge, GA","City",2018,6,1122,1177,1359,1785,2193,2.2,12
"Stockton, CA","City",2018,6,803,958,1257,1815,2191,.4,7.9
"Stone Mountain, GA","City",2018,6,925,970,1121,1471,1808,1,2.1
"Stratford, CT","City",2018,6,958,1171,1479,1870,2241,1.4,2.9
"Streetsboro, OH","City",2018,6,760,876,1164,1496,1604,4.1,
"Strongsville, OH","City",2018,6,679,812,1011,1329,1408,3,
"Suffolk, VA","City",2018,6,917,922,1110,1549,1933,.6,2.7
"Sugar Land, TX","City",2018,6,1135,1286,1574,2146,2727,.2,1.4
"Suisun City, CA","City",2018,6,1221,1523,1904,2771,3356,-.1,.3
"Suitland, MD","City",2018,6,1254,1317,1522,2007,2489,.2,3.3
"Summerville, SC","City",2018,6,836,959,1141,1512,1953,.3,2
"Sumter, SC","City",2018,6,594,598,738,972,1090,-.3,-1.7
"Sun City, AZ","City",2018,6,697,846,1054,1534,1780,-2.5,-2.5
"Sun Prairie, WI","City",2018,6,717,855,1032,1433,1633,.1,
"Sunbury, OH","City",2018,6,772,913,1177,1514,1762,.3,
"Sunnyvale, CA","City",2018,6,1975,2321,2909,4039,4655,.8,4.4
"Surprise, AZ","City",2018,6,880,1069,1332,1939,2249,-.8,.2
"Suwanee, GA","City",2018,6,1588,1665,1923,2525,3103,1.9,3.4
"Swartz Creek, MI","City",2018,6,574,680,904,1191,1291,-.4,2.5
"Syracuse, NY","City",2018,6,590,659,832,1091,1192,.3,1.4
"Tacoma, WA","City",2018,6,1081,1238,1542,2238,2662,-.1,2
"Tallahassee, FL","City",2018,6,763,804,995,1319,1512,.5,1.3
"Tampa, FL","City",2018,6,881,1005,1251,1655,1985,.7,4.6
"Tarpon Springs, FL","City",2018,6,776,887,1104,1459,1751,-.7,.7
"Taunton, MA","City",2018,6,815,914,1110,1409,1656,0,
"Taylor, MI","City",2018,6,565,683,888,1180,1280,.5,-.7
"Taylor, TX","City",2018,6,724,877,1083,1468,1766,1.4,
"Taylors, SC","City",2018,6,694,791,949,1262,1493,.1,-2.1
"Temecula, CA","City",2018,6,1233,1444,1824,2580,3173,-.2,3.7
"Tempe, AZ","City",2018,6,760,923,1150,1674,1942,.5,2.4
"Temple Hills, MD","City",2018,6,1215,1277,1475,1945,2412,-.2,5.8
"Temple, TX","City",2018,6,588,601,795,1123,1393,-.1,3.4
"Terre Haute, IN","City",2018,6,458,568,722,931,995,-.4,-7.8
"Terrell, TX","City",2018,6,660,787,977,1325,1688,1.5,
"Texarkana, AR","City",2018,6,496,564,711,907,1000,.2,
"Texarkana, TX","City",2018,6,535,608,766,977,1077,1.1,1.2
"Texas City, TX","City",2018,6,762,864,1057,1441,1831,-.7,-.3
"The Colony, TX","City",2018,6,977,1165,1447,1962,2499,.3,-.5
"Thornton, CO","City",2018,6,1198,1464,1853,2692,3118,1.2,2.1
"Thousand Oaks, CA","City",2018,6,1714,2035,2686,3789,4459,1,1.5
"Titusville, FL","City",2018,6,638,793,1006,1390,1712,2.6,8.1
"Toledo, OH","City",2018,6,493,592,774,1061,1159,.5,2.1
"Tolleson, AZ","City",2018,6,848,1031,1284,1869,2168,-.2,3.9
"Tomball, TX","City",2018,6,857,971,1188,1620,2059,-.2,4
"Topeka, KS","City",2018,6,489,585,771,1043,1262,.3,-.3
"Torrance, CA","City",2018,6,1335,1590,2042,2776,3061,.1,3.1
"Towson, MD","City",2018,6,956,1161,1457,1873,2194,-.3,-4.2
"Tracy, CA","City",2018,6,1338,1609,2080,2935,3528,-.9,
"Trenton, MI","City",2018,6,563,681,886,1176,1276,.3,
"Trenton, NJ","City",2018,6,913,1068,1310,1711,1968,-.7,-1.4
"Troy, MI","City",2018,6,828,1000,1302,1729,1876,-.1,.5
"Troy, NY","City",2018,6,673,798,982,1228,1353,.3,
"Troy, OH","City",2018,6,504,562,734,986,1163,.1,1.4
"Tualatin, OR","City",2018,6,1404,1562,1842,2682,3246,-1.1,.8
"Tucker, GA","City",2018,6,1090,1143,1320,1733,2130,1,9.1
"Tucson, AZ","City",2018,6,587,697,926,1347,1594,.1,1.7
"Tulsa, OK","City",2018,6,539,639,825,1112,1223,.1,.1
"Tuscaloosa, AL","City",2018,6,641,724,884,1141,1219,-.8,2.5
"Tustin, CA","City",2018,6,1608,1914,2459,3342,3685,.7,1.8
"Twentynine Palms, CA","City",2018,6,551,659,824,1158,1426,.2,4.5
"Tyler, TX","City",2018,6,634,704,863,1141,1246,.2,1.7
"Union City, CA","City",2018,6,2258,2775,3487,4691,5578,1.2,2.9
"Union City, GA","City",2018,6,831,872,1007,1322,1625,.4,9
"Union City, NJ","City",2018,6,1273,1413,1684,2171,2418,1.7,-.7
"Universal City, TX","City",2018,6,766,944,1186,1569,1884,1.3,5.5
"University Place, WA","City",2018,6,991,1135,1413,2051,2440,-1.1,2.6
"Upland, CA","City",2018,6,1232,1471,1863,2578,3023,1.1,4.7
"Urbana, IL","City",2018,6,584,718,890,1118,1489,-.1,.3
"Urbandale, IA","City",2018,6,647,765,942,1277,1391,.6,3.8
"Utica, MI","City",2018,6,651,787,1024,1360,1475,.3,
"Vacaville, CA","City",2018,6,1097,1367,1710,2488,3013,1.2,5.2
"Valdosta, GA","City",2018,6,553,557,713,975,1256,.1,1
"Vallejo, CA","City",2018,6,883,1090,1382,2011,2368,-.9,.2
"Valley Park, MO","City",2018,6,713,808,1049,1390,1621,.3,.3
"Valparaiso, IN","City",2018,6,683,797,967,1232,1434,-.2,
"Valrico, FL","City",2018,6,1142,1304,1623,2146,2574,-.6,-1.8
"Vancouver, WA","City",2018,6,1249,1390,1640,2387,2889,.3,3.1
"Vandalia, OH","City",2018,6,437,487,636,854,1008,0,
"Venice, FL","City",2018,6,942,1013,1302,1786,2171,.4,1.6
