,Unnamed: 0,City,State,Population_2017,Area,Pop_density,Things_to_do,State_code,Price_1br
144,148,Elk Grove,California,"171,844",109.3,"1,553",19,CA,1354
145,149,Pembroke Pines,Florida,"170,712",85.5,"1,973",26,FL,1899
146,150,Salem,Oregon,"169,798",125.9,"1,330",90,OR,811
147,151,Eugene,Oregon,"168,916",114.2,"1,458",102,OR,809
148,152,Peoria,Arizona,"168,181",455.1,361,38,AZ,1113
149,153,Corona,California,"167,836",102.3,"1,630",17,CA,1749
150,154,Springfield,Missouri,"167,376",213.2,785,98,MO,525
151,155,Jackson,Mississippi,"166,965",287.5,588,68,MS,696
152,156,Cary,North Carolina,"165,904",146.3,"1,109",39,NC,1068
153,157,Fort Collins,Colorado,"165,080",144.5,"1,136",114,CO,950
154,158,Hayward,California,"160,500",117.8,"1,349",23,CA,2282
155,159,Lancaster,California,"160,316",244.2,656,39,CA,1369
156,160,Alexandria,Virginia,"160,035",38.8,"4,010",98,VA,1584
157,161,Salinas,California,"157,596",61.1,"2,572",33,CA,1689
158,162,Palmdale,California,"157,519",274.5,573,20,CA,1571
159,165,Sunnyvale,California,"153,656",57.0,"2,681",22,CA,2321
160,166,Hollywood,Florida,"153,627",70.7,"2,150",23,FL,1119
161,167,Pasadena,Texas,"153,520",112.7,"1,361",16,TX,789
162,168,Clarksville,Tennessee,"153,205",254.6,590,43,TN,597
163,169,Pomona,California,"152,939",59.6,"2,560",18,CA,1147
164,170,Kansas City,Kansas,"152,938",323.2,470,171,KS,720
165,171,Macon,Georgia,"152,663",645.7,236,49,GA,799
166,172,Escondido,California,"151,969",96.1,"1,578",60,CA,1440
167,174,Joliet,Illinois,"148,462",166.8,889,30,IL,1025
168,175,Naperville,Illinois,"147,682",100.2,"1,468",48,IL,1484
169,176,Rockford,Illinois,"147,051",164.5,898,37,IL,616
170,177,Torrance,California,"146,758",53.1,"2,770",41,CA,1590
171,179,Savannah,Georgia,"146,444",268.3,547,233,GA,896
172,180,Killeen,Texas,"145,482",138.6,"1,030",19,TX,564
173,181,Bellevue,Washington,"144,444",86.8,"1,630",50,WA,1872
174,182,Mesquite,Texas,"143,949",122.2,"1,176",14,TX,1078
175,183,Syracuse,New York,"143,396",64.7,"2,214",72,NY,659
176,184,McAllen,Texas,"142,696",151.3,940,30,TX,614
177,185,Pasadena,California,"142,647",59.6,"2,385",70,CA,1616
178,186,Orange,California,"140,560",65.8,"2,136",594,CA,1784
179,187,Fullerton,California,"140,392",58.0,"2,425",30,CA,1541
180,188,Dayton,Ohio,"140,371",144.3,974,74,OH,652
